Kilobyte, Milliseconds
128.000000,0.000000
256.000000,0.000000
384.000000,0.000000
512.000000,10.000000
640.000000,0.000000
768.000000,0.000000
896.000000,0.000000
1024.000000,0.000000
1152.000000,0.000000
1280.000000,0.000000
1408.000000,0.000000
1536.000000,10.000000
1664.000000,0.000000
1792.000000,0.000000
1920.000000,0.000000
2048.000000,0.000000
2176.000000,10.000000
2304.000000,0.000000
2432.000000,0.000000
2560.000000,10.000000
2688.000000,0.000000
2816.000000,0.000000
2944.000000,10.000000
3072.000000,0.000000
3200.000000,0.000000
3328.000000,10.000000
3456.000000,0.000000
3584.000000,0.000000
3712.000000,10.000000
3840.000000,0.000000
3968.000000,10.000000
4096.000000,0.000000
4224.000000,10.000000
4352.000000,0.000000
4480.000000,10.000000
4608.000000,0.000000
4736.000000,10.000000
4864.000000,0.000000
4992.000000,10.000000
5120.000000,10.000000
5248.000000,0.000000
5376.000000,10.000000
5504.000000,0.000000
5632.000000,10.000000
5760.000000,10.000000
5888.000000,0.000000
6016.000000,10.000000
6144.000000,10.000000
6272.000000,10.000000
6400.000000,0.000000
6528.000000,10.000000
6656.000000,10.000000
6784.000000,10.000000
6912.000000,0.000000
7040.000000,10.000000
7168.000000,10.000000
7296.000000,10.000000
7424.000000,10.000000
7552.000000,10.000000
7680.000000,0.000000
7808.000000,10.000000
7936.000000,10.000000
8064.000000,10.000000
8192.000000,10.000000
8320.000000,20.000000
8448.000000,10.000000
8576.000000,10.000000
8704.000000,20.000000
8832.000000,10.000000
8960.000000,20.000000
9088.000000,20.000000
9216.000000,10.000000
9344.000000,20.000000
9472.000000,20.000000
9600.000000,20.000000
9728.000000,20.000000
9856.000000,20.000000
9984.000000,20.000000
